SlideID,FOV,TotalSpores,Project,Sampler,SampleType,StainType,StainDate,DateCounted,Who,Magn.,Photos,Notes,SampleID,LB_Batch,SlideReps,Volume_L,Slide_RepVolume_L,Unit,Day,Sample_num,RepVolume_m3
LabBlank_E_20240703,1,0,Konza4,Blank,LabBlank,CW/KOH,20240703,NA,LL,1000x,NA,NA,LabBlank_E_20240703,K4_B,NA,NA,NA,NA,NA,NA,NA
LabBlank_E_20240703,2,0,Konza4,Blank,LabBlank,CW/KOH,20240703,NA,LL,1000x,NA,NA,LabBlank_E_20240703,K4_B,NA,NA,NA,NA,NA,NA,NA
LabBlank_E_20240703,3,0,Konza4,Blank,LabBlank,CW/KOH,20240703,NA,LL,1000x,NA,NA,LabBlank_E_20240703,K4_B,NA,NA,NA,NA,NA,NA,NA
LabBlank_E_20240703,4,0,Konza4,Blank,LabBlank,CW/KOH,20240703,NA,LL,1000x,NA,NA,LabBlank_E_20240703,K4_B,NA,NA,NA,NA,NA,NA,NA
LabBlank_E_20240703,5,0,Konza4,Blank,LabBlank,CW/KOH,20240703,NA,LL,1000x,NA,NA,LabBlank_E_20240703,K4_B,NA,NA,NA,NA,NA,NA,NA
LabBlank_E_20240703,6,0,Konza4,Blank,LabBlank,CW/KOH,20240703,NA,LL,1000x,NA,NA,LabBlank_E_20240703,K4_B,NA,NA,NA,NA,NA,NA,NA
LabBlank_E_20240703,7,0,Konza4,Blank,LabBlank,CW/KOH,20240703,NA,LL,1000x,NA,NA,LabBlank_E_20240703,K4_B,NA,NA,NA,NA,NA,NA,NA
LabBlank_E_20240703,8,0,Konza4,Blank,LabBlank,CW/KOH,20240703,NA,LL,1000x,NA,NA,LabBlank_E_20240703,K4_B,NA,NA,NA,NA,NA,NA,NA
LabBlank_E_20240703,9,0,Konza4,Blank,LabBlank,CW/KOH,20240703,NA,LL,1000x,NA,NA,LabBlank_E_20240703,K4_B,NA,NA,NA,NA,NA,NA,NA
LabBlank_E_20240703,10,0,Konza4,Blank,LabBlank,CW/KOH,20240703,NA,LL,1000x,NA,NA,LabBlank_E_20240703,K4_B,NA,NA,NA,NA,NA,NA,NA
LabBlank_E_20240703,11,0,Konza4,Blank,LabBlank,CW/KOH,20240703,NA,LL,1000x,NA,NA,LabBlank_E_20240703,K4_B,NA,NA,NA,NA,NA,NA,NA
LabBlank_E_20240703,12,0,Konza4,Blank,LabBlank,CW/KOH,20240703,NA,LL,1000x,NA,NA,LabBlank_E_20240703,K4_B,NA,NA,NA,NA,NA,NA,NA
LabBlank_E_20240703,13,0,Konza4,Blank,LabBlank,CW/KOH,20240703,NA,LL,1000x,NA,NA,LabBlank_E_20240703,K4_B,NA,NA,NA,NA,NA,NA,NA
LabBlank_E_20240703,14,0,Konza4,Blank,LabBlank,CW/KOH,20240703,NA,LL,1000x,NA,NA,LabBlank_E_20240703,K4_B,NA,NA,NA,NA,NA,NA,NA
LabBlank_E_20240703,15,0,Konza4,Blank,LabBlank,CW/KOH,20240703,NA,LL,1000x,NA,NA,LabBlank_E_20240703,K4_B,NA,NA,NA,NA,NA,NA,NA
LabBlank_E_20240703,16,0,Konza4,Blank,LabBlank,CW/KOH,20240703,NA,LL,1000x,NA,NA,LabBlank_E_20240703,K4_B,NA,NA,NA,NA,NA,NA,NA
LabBlank_E_20240703,17,0,Konza4,Blank,LabBlank,CW/KOH,20240703,NA,LL,1000x,NA,NA,LabBlank_E_20240703,K4_B,NA,NA,NA,NA,NA,NA,NA
LabBlank_E_20240703,18,0,Konza4,Blank,LabBlank,CW/KOH,20240703,NA,LL,1000x,NA,NA,LabBlank_E_20240703,K4_B,NA,NA,NA,NA,NA,NA,NA
LabBlank_E_20240703,19,0,Konza4,Blank,LabBlank,CW/KOH,20240703,NA,LL,1000x,NA,NA,LabBlank_E_20240703,K4_B,NA,NA,NA,NA,NA,NA,NA
